image_path,label,label_name
/content/dataset/PetImages/Dog/4346.jpg,1,Dog
/content/dataset/PetImages/Cat/11163.jpg,0,Cat
/content/dataset/PetImages/Dog/688.jpg,1,Dog
/content/dataset/PetImages/Cat/5431.jpg,0,Cat
/content/dataset/PetImages/Dog/215.jpg,1,Dog
/content/dataset/PetImages/Cat/6783.jpg,0,Cat
/content/dataset/PetImages/Cat/5625.jpg,0,Cat
/content/dataset/PetImages/Cat/8238.jpg,0,Cat
/content/dataset/PetImages/Dog/10467.jpg,1,Dog
/content/dataset/PetImages/Dog/11557.jpg,1,Dog
/content/dataset/PetImages/Dog/7863.jpg,1,Dog
/content/dataset/PetImages/Cat/10741.jpg,0,Cat
/content/dataset/PetImages/Cat/693.jpg,0,Cat
/content/dataset/PetImages/Dog/8496.jpg,1,Dog
/content/dataset/PetImages/Cat/11009.jpg,0,Cat
/content/dataset/PetImages/Cat/3860.jpg,0,Cat
/content/dataset/PetImages/Dog/257.jpg,1,Dog
/content/dataset/PetImages/Dog/8304.jpg,1,Dog
/content/dataset/PetImages/Cat/8762.jpg,0,Cat
/content/dataset/PetImages/Cat/2505.jpg,0,Cat
/content/dataset/PetImages/Dog/2583.jpg,1,Dog
/content/dataset/PetImages/Dog/10750.jpg,1,Dog
/content/dataset/PetImages/Dog/10718.jpg,1,Dog
/content/dataset/PetImages/Cat/2183.jpg,0,Cat
/content/dataset/PetImages/Dog/5889.jpg,1,Dog
/content/dataset/PetImages/Cat/8179.jpg,0,Cat
/content/dataset/PetImages/Cat/3961.jpg,0,Cat
/content/dataset/PetImages/Cat/4658.jpg,0,Cat
/content/dataset/PetImages/Dog/10963.jpg,1,Dog
/content/dataset/PetImages/Cat/2776.jpg,0,Cat
/content/dataset/PetImages/Dog/363.jpg,1,Dog
/content/dataset/PetImages/Dog/8575.jpg,1,Dog
/content/dataset/PetImages/Dog/9198.jpg,1,Dog
/content/dataset/PetImages/Dog/1142.jpg,1,Dog
/content/dataset/PetImages/Cat/8119.jpg,0,Cat
/content/dataset/PetImages/Dog/2571.jpg,1,Dog
/content/dataset/PetImages/Cat/3582.jpg,0,Cat
/content/dataset/PetImages/Dog/5653.jpg,1,Dog
/content/dataset/PetImages/Dog/9648.jpg,1,Dog
/content/dataset/PetImages/Cat/10314.jpg,0,Cat
/content/dataset/PetImages/Cat/5129.jpg,0,Cat
/content/dataset/PetImages/Dog/11560.jpg,1,Dog
/content/dataset/PetImages/Dog/191.jpg,1,Dog
/content/dataset/PetImages/Cat/428.jpg,0,Cat
/content/dataset/PetImages/Cat/5865.jpg,0,Cat
/content/dataset/PetImages/Dog/3122.jpg,1,Dog
/content/dataset/PetImages/Dog/3350.jpg,1,Dog
/content/dataset/PetImages/Dog/297.jpg,1,Dog
/content/dataset/PetImages/Dog/5438.jpg,1,Dog
/content/dataset/PetImages/Cat/4231.jpg,0,Cat
/content/dataset/PetImages/Dog/715.jpg,1,Dog
/content/dataset/PetImages/Dog/12045.jpg,1,Dog
/content/dataset/PetImages/Dog/2018.jpg,1,Dog
/content/dataset/PetImages/Cat/9955.jpg,0,Cat
/content/dataset/PetImages/Cat/1747.jpg,0,Cat
/content/dataset/PetImages/Dog/4631.jpg,1,Dog
/content/dataset/PetImages/Dog/93.jpg,1,Dog
/content/dataset/PetImages/Cat/3918.jpg,0,Cat
/content/dataset/PetImages/Cat/8525.jpg,0,Cat
/content/dataset/PetImages/Cat/6534.jpg,0,Cat
/content/dataset/PetImages/Dog/2920.jpg,1,Dog
/content/dataset/PetImages/Dog/1545.jpg,1,Dog
/content/dataset/PetImages/Dog/4842.jpg,1,Dog
/content/dataset/PetImages/Cat/180.jpg,0,Cat
/content/dataset/PetImages/Cat/9403.jpg,0,Cat
/content/dataset/PetImages/Dog/7809.jpg,1,Dog
/content/dataset/PetImages/Dog/4600.jpg,1,Dog
/content/dataset/PetImages/Dog/7241.jpg,1,Dog
/content/dataset/PetImages/Dog/12051.jpg,1,Dog
/content/dataset/PetImages/Cat/4384.jpg,0,Cat
/content/dataset/PetImages/Cat/3844.jpg,0,Cat
/content/dataset/PetImages/Cat/4033.jpg,0,Cat
/content/dataset/PetImages/Cat/10453.jpg,0,Cat
/content/dataset/PetImages/Cat/6538.jpg,0,Cat
/content/dataset/PetImages/Dog/6518.jpg,1,Dog
/content/dataset/PetImages/Cat/8203.jpg,0,Cat
